VSTRANA;NSTRANA
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;20
21;21
22;22
23;23
24;24
25;25
26;26
27;27
28;28
29;29
30;30
31;31
32;32
33;33
34;34
35;35
36;36
37;37
38;38
39;39
40;40
41;41
42;42
43;43
44;44
45;45
46;46
47;47
48;48
49;49
50;50
51;51
52;52
53;53
54;54
55;55
56;56
57;57
58;58
59;59
60;60
61;61
62;62
63;63
64;64
65;65
66;66
67;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
75;75
76;76
77;77
78;78
79;79
80;80
81;81
82;82
83;83
84;84
85;85
86;86
87;87
88;88
89;89
90;80
91;91
92;92
93;93
94;94
95;95
96;96
97;97
98;98
99;99
100;100
101;101
102;102
103;103
104;104
105;105
106;106
107;107
108;108
109;109
110;110
111;111
112;112
113;113
114;114
115;115
116;116
117;117
118;118
119;119
120;120
121;121
122;122
123;123
124;124
125;125
126;126
127;127
128;128
129;129
130;130
131;131
132;132
133;133
134;134
135;135
136;136
137;137
138;138
139;139
140;140
141;141
142;142
143;143
144;144
145;145
146;146
147;147
148;148
149;149
150;150
151;151
152;152
153;153
154;154
155;155
156;156
157;157
158;158
159;159
160;160
161;161
162;162
163;163
164;164
165;165
166;166
167;167
168;168
169;169
170;170
171;171
172;172
173;173
174;174
175;175
176;176
177;177
178;178
179;179
180;180
181;181
182;182
183;183
184;184
185;185
186;186
187;187
188;188
189;189
190;190
191;191
192;192
193;193
194;194
195;195
196;196
197;197
198;198
199;199
200;200
201;1
201;2
202;1
202;2
202;102
203;1
203;5
203;81
204;1
204;5
204;88
205;1
205;13
206;1
206;13
206;53
206;102
207;1
207;13
207;81
208;1
208;13
208;81
208;102
209;1
209;47
210;1
210;53
211;1
211;53
211;102
212;1
212;81
213;1
213;81
213;102
215;1
215;88
216;1
216;102
217;1
217;103
218;1
218;105
219;2
219;5
219;40
219;88
220;2
220;5
220;81
221;2
221;7
222;2
222;13
223;2
223;20
224;2
224;53
225;2
225;81
226;2
226;102
227;5
227;7
228;5
228;13
229;5
229;40
229;88
230;7
230;20
231;7
231;47
232;7
232;53
233;7
233;74
234;7
234;83
235;7
235;101
236;11
236;79
237;11
237;79
237;82
238;13
238;40
238;81
239;13
239;40
239;81
239;102
240;13
240;53
241;13
241;53
241;81
242;13
242;81
243;13
243;88
244;13
244;102
245;13
245;103
246;20
246;25
247;20
247;74
248;40
248;81
249;40
249;81
249;102
250;43
250;98
250;105
251;47
251;74
252;53
252;81
253;53
253;102
254;81
254;82
255;81
255;102
256;82
256;83
257;88
257;102
259;2
259;88
260;5
260;20
261;40
261;98
267;40
267;105
267;113
268;103
268;113
269;5
269;125
273;128
273;134
274;13
274;143
275;1
275;102
275;113
276;20
276;113
277;20
277;82
277;83
278;113
278;129
279;1
279;7
280;1
280;129
281;1
281;13
281;102
282;102
282;129
283;2
283;103
283;113
285;5
285;129
286;7
286;102
287;20
287;127
288;129
288;135
290;13
290;133
291;11
291;79
291;127
292;5
292;103
293;98
293;137
294;13
294;129
295;5
295;103
295;129
296;5
296;102
298;2
298;40
298;113
299;13
299;72
299;88
299;133
300;2
300;101
301;5
301;47
303;1
303;5
305;2
305;5
305;13
305;40
305;133
305;135
306;1
306;7
306;53
307;5
307;53
309;1
309;83
310;2
310;152
311;129
311;143
313;13
313;102
313;133
313;138
314;1
314;102
314;143
315;5
315;138
316;126
316;129
319;20
319;101
319;137
320;43
320;153
321;109
321;129
322;103
322;113
322;143
323;20
323;156
324;5
324;103
324;136
325;20
325;83
325;101
328;152
328;153
330;143
330;166
331;110
331;119
332;128
332;137
334;103
334;112
338;9
338;40
338;68
338;157
338;159
338;165
338;167
339;1
339;181
340;1
340;166
341;5
341;158
342;83
342;102
344;1
344;129
344;181
345;32
345;46
345;83
346;1
346;13
346;181
347;129
347;158
348;72
348;129
349;1
349;113
350;13
350;102
350;133
351;1
351;2
351;80
352;1
352;47
352;80
353;1
353;53
353;80
354;1
354;53
354;80
354;102
355;1
355;80
356;1
356;80
356;81
357;1
357;80
357;102
358;1
358;80
358;105
359;2
359;5
359;40
359;65
359;68
359;80
359;88
359;98
359;104
360;2
360;13
360;80
361;2
361;80
362;5
362;20
362;80
363;5
363;53
363;80
364;5
364;80
365;5
365;80
365;81
366;5
366;80
366;82
367;5
367;80
367;103
368;7
368;11
368;80
368;83
369;7
369;20
369;80
370;7
370;74
